authorID,authorName
1102,John Bolen
1103,Paul Graham
1104,Sherrilyn Kenyon
1105,The Voice of the Martyrs
1106,Harry Crews
1107,William Faloon
1108,John Graves
1109,Saul A. Teukolsky
1110,Alan Durband
1111,Joseph Blotner
1112,Amy Berner
1113,Jennie Bond
1114,Nora Roberts
1115,James Grauerholz
1116,Anne Frank
1117,Forrest Gander
1118,Sissy Spacek
1119,Kent Beck
1120,Monica Gesue
1121,Mine Yoshizaki
1122,Eric Jensen
1123,Doug McClelland
1124,Sam Johnson
1125,John      Lee
1126,Penny Gay
1127,Tad Williams
1128,Tara MacCarthy
1129,Roger Whitehouse
1130,Chuck Horner
1131,Scott Leonard
1132,Alexis Kirsch
1133,Andrew Weil
1134,Polly Horvath
1135,Michael A. Crom
1136,Catherine Whitney
1137,John Passmore
1138,Valerie Boyd
1139,Ruth E. Feber
1140,Jay Parini
1141,Philip Bond
1142,Jasmine C.M. Luk
1143,Fritz Leiber
1144,Javier Calvo
1145,Bret Norris
1146,Teresa Patterson
1147,Margaret Truman
1148,Richard Ellmann
1149,David Eddings
1150,Binjamin W. Segel
1151,Patti   Davis
1152,Hablot Knight Browne
1153,Rafe Martin
1154,Marcel Cardillo
1155,Al Ries
1156,Oscar Fraley
1157,F. Murray Abraham
1158,Tiina Nunnally
1159,Phoebe Dunn
1160,Robert Stock
1161,Brendan Connell
1162,Iris Menéndez
1163,Delia Mateovich
1164,Marek Wieczorek
1165,James Thomas
1166,Terry Eagleton
1167,Thomas Cleary
1168,Ruth Rendell
1169,Arliss Howard
1170,Angela Scholar
1171,Matthew Fox
1172,Robert Mezey
1173,Stanisław Lem
1174,Stewart Shapiro
1175,E.B. White
1176,Angus Wells
1177,Richard  Poe
1178,Jeff Stone
1179,Jan Berenstain
1180,Steven Pinker
1181,Luis Sepúlveda
1182,Nikolaus Hansen
1183,Jean-François Podevin
1184,Annette Meyers
1185,John Lutz
1186,Plum Sykes
1187,Dorothy Corkille Briggs
1188,Terri Blackstock
1189,F. Gwynplaine MacIntyre
1190,Nicholas Humphrey
1191,Time-Life Books
1192,Stephanie Laurens
1193,Barbara Haworth-Attard
1194,John Goodson
1195,Thomas Wolfe
1196,Nikki Giovanni
1197,Diane Duane
1198,Joseph M. Apfelbäume
1199,Karin Dufner
1200,Keith Brooke
1201,Dallas Willard
1202,Peter K. Chadwick
1203,J.M.D. Meiklejohn
1204,Julie Otsuka
1205,Trudi Canavan
1206,Rajiv Chandrasekaran
1207,Maggie Lew
1208,Robert A. Phillips
1209,Frans Lasson
1210,Kenneth Silverman
